1 - Code=064900, Full Code=KR7064900004, Company=교보메리츠(폐지)
1 - Code=016397, Full Code=KR7016392003, Company=나라종금2우B(폐지)
1 - Code=091090, Full Code=KRA091090159, Company=세원셀론텍 7R(폐지)
1 - Code=021960, Full Code=KRA021960125, Company=우리파이낸셜 11R(폐지)
1 - Code=009460, Full Code=KR7009460007, Company=한창제지
1 - Code=020560, Full Code=KRA020560165, Company=아시아나항공 6R(폐지)
1 - Code=108450, Full Code=KR7108450008, Company=KINDEX 삼성그룹SW
1 - Code=016801, Full Code=KR7016800013, Company=퍼시스1(폐지)
1 - Code=016800, Full Code=KR7016800005, Company=퍼시스
1 - Code=016802, Full Code=KR7016800021, Company=퍼시스2(폐지)
1 - Code=J02000, Full Code=KRA0200021Q2, Company=1Q)한섬1WR(폐지)
1 - Code=002471, Full Code=KR7002470011, Company=동 성 1(폐지)
1 - Code=570018, Full Code=KRG571100186, Company=TRUE K200 Auto-KO-C 1803-01 ETN
1 - Code=570015, Full Code=KRG571100152, Company=TRUE 다우존스 지속가능경영 코리아 ETN
1 - Code=025860, Full Code=KR7025860008, Company=남해화학
1 - Code=570017, Full Code=KRG571100178, Company=TRUE K200 Condor 1803-01 ETN
1 - Code=570016, Full Code=KRG571100160, Company=TRUE K200 C-SP 1803-01 ETN
1 - Code=570011, Full Code=KRG575100117, Company=TRUE 레버리지 엔선물 ETN
1 - Code=001787, Full Code=KR7001782002, Company=동양강철2우B(폐지)
1 - Code=570013, Full Code=KRG574100134, Company=TRUE 유로선물 ETN
1 - Code=001785, Full Code=KR7001781004, Company=동양강철우(폐지)
1 - Code=016480, Full Code=KR7016480006, Company=한화종금(폐지)
1 - Code=001890, Full Code=KR7001890003, Company=영창악기(폐지)
1 - Code=252710, Full Code=KR7252710009, Company=TIGER 200선물인버스2X
1 - Code=183700, Full Code=KR7183700004, Company=KBSTAR 채권혼합
1 - Code=001527, Full Code=KR7001522002, Company=동양2우B
1 - Code=001525, Full Code=KR7001521004, Company=동양우
1 - Code=001250, Full Code=KRA001250166, Company=지에스글로벌 43R(폐지)
1 - Code=001520, Full Code=KRA001520212, Company=동양메이저 52R(폐지)
1 - Code=000305, Full Code=KR7000301002, Company=삼선공업우(폐지)
1 - Code=000306, Full Code=KR7000301010, Company=삼선공업우1(폐지)
1 - Code=000301, Full Code=KR7000300012, Company=두레에어1(폐지)
1 - Code=000300, Full Code=KR7000300004, Company=대유플러스
1 - Code=001529, Full Code=KR7001523000, Company=동양3우B
1 - Code=001095, Full Code=KR7001091008, Company=동서증권우(폐지)
1 - Code=133820, Full Code=KR7133820001, Company=화인베스틸
1 - Code=001090, Full Code=KR7001090000, Company=동서증권(폐지)
1 - Code=018415, Full Code=KR7018411009, Company=현대금속우(폐지)
1 - Code=110570, Full Code=KRA110570124, Company=넥솔론 4R(폐지)
1 - Code=034590, Full Code=KR7034590000, Company=인천도시가스
1 - Code=J01638, Full Code=KRA016382137, Company=13)동부제철5WR
1 - Code=109070, Full Code=KRA109070169, Company=케이지피20R(폐지)
1 - Code=009690, Full Code=KR7009690009, Company=케이엠에이치(폐지)
1 - Code=009691, Full Code=KR7009690017, Company=케이디케1(폐지)
1 - Code=009692, Full Code=KR7009690025, Company=케이디케2(폐지)
1 - Code=092970, Full Code=KR7092970003, Company=거북선1호(폐지)
1 - Code=004700, Full Code=KR7004700001, Company=조광피혁
1 - Code=029780, Full Code=KR7029780004, Company=삼성카드
1 - Code=000231, Full Code=KR7000230011, Company=일동제약1(폐지)
1 - Code=000230, Full Code=KR7000230003, Company=일동홀딩스
1 - Code=009450, Full Code=KR7009450008, Company=경동나비엔
1 - Code=J02797, Full Code=KRA027972116, Company=11)세하1WR(폐지)
1 - Code=010150, Full Code=KR7010150001, Company=한국코아(폐지)
1 - Code=047050, Full Code=KR7047050000, Company=포스코대우
1 - Code=015650, Full Code=KR7015650005, Company=리젠트종금(폐지)
1 - Code=008670, Full Code=KR7008670002, Company=굿모닝신한증권(폐지)
1 - Code=008675, Full Code=KR7008671000, Company=굿모닝신한증권우(폐지)
1 - Code=078420, Full Code=KR7078420007, Company=동북아1호(폐지)
1 - Code=004310, Full Code=KR7004310009, Company=현대약품
1 - Code=000120, Full Code=KR7000120006, Company=CJ대한통운
1 - Code=101140, Full Code=KR7101140002, Company=아티스
1 - Code=015891, Full Code=KR7015890015, Company=태경산업1(폐지)
1 - Code=015890, Full Code=KR7015890007, Company=태경산업
1 - Code=005770, Full Code=KR7005770003, Company=광주은행(폐지)
1 - Code=012710, Full Code=KR7012710000, Company=한스종금(폐지)
1 - Code=005950, Full Code=KR7005950001, Company=이수화학
1 - Code=004420, Full Code=KR7004420006, Company=동국무역(폐지)
1 - Code=004130, Full Code=KR7004130001, Company=대덕GDS
1 - Code=004137, Full Code=KR7004132007, Company=대덕GDS2우B(폐지)
1 - Code=004135, Full Code=KR7004131009, Company=대덕GDS우
1 - Code=005795, Full Code=KR7005791009, Company=만도기계우(폐지)
1 - Code=005797, Full Code=KR7005792007, Company=만도기계2우B(폐지)
1 - Code=010970, Full Code=KR7010970002, Company=한주화학(폐지)
1 - Code=005790, Full Code=KR7005790001, Company=만도기계(폐지)
1 - Code=118000, Full Code=KRA118000157, Company=우리들휴브레인 8R(폐지)
1 - Code=139130, Full Code=KRA139130140, Company=DGB금융지주4R(폐지)
1 - Code=009070, Full Code=KR7009070004, Company=KCTC
1 - Code=082250, Full Code=KR7082250002, Company=아시아6호(폐지)
1 - Code=011280, Full Code=KR7011280005, Company=태림포장
1 - Code=011281, Full Code=KR7011280013, Company=태림포장1(폐지)
1 - Code=105020, Full Code=KR7105020002, Company=TIGER 브릭스(폐지)
1 - Code=071950, Full Code=KR7071950000, Company=코아스
1 - Code=035340, Full Code=KR7035340009, Company=엠피챌린지(폐지)
1 - Code=032560, Full Code=KR7032560005, Company=황금에스티
1 - Code=004555, Full Code=KR7004551008, Company=대우송도개발1우(폐지)
1 - Code=004550, Full Code=KRA0045501W0, Company=대우자동차판매 23R(폐지)
1 - Code=008270, Full Code=KR7008270001, Company=산은캐피탈(폐지)
1 - Code=007050, Full Code=KR7007050008, Company=유리이에스(폐지)
1 - Code=023450, Full Code=KR7023450000, Company=동남합성
1 - Code=023451, Full Code=KR7023450018, Company=동남합성1(폐지)
